PHY_ExG_Response.csv
Serial number : 240315(HUS VM)
From : 2017/04/05 00:00
To   : 2017/04/06 00:00
sampling rate : 1

"No.","time","E1-1","E1-2","E1-3","E1-4","E1-5","E1-6","E1-7","E1-8","E1-9","E1-10","E1-11","E1-12","E1-13","E1-14","E1-15","E1-16","E1-17","E1-18"
"57","2017/04/05 00:57",2,1,1,1,1,1,3,4,4,4,6,2,1,1,1,1,1,2
"58","2017/04/05 00:58",2,2,1,1,2,2,4,3,4,3,3,2,2,2,2,2,1,1
"59","2017/04/05 00:59",1,2,1,1,1,2,1,3,2,3,3,3,2,2,2,3,1,4
"60","2017/04/05 01:00",3,2,7,3,3,4,4,6,4,4,4,6,5,2,4,6,8,10
"61","2017/04/05 01:01",2,1,2,1,2,2,3,3,4,4,3,4,4,2,2,3,4,4
"62","2017/04/05 01:02",2,3,2,2,2,2,4,3,2,4,3,4,3,3,2,2,8,4
"63","2017/04/05 01:03",1,1,1,1,2,2,2,2,2,3,3,3,2,3,2,2,2,4
"64","2017/04/05 01:04",2,1,2,2,2,1,2,2,3,3,3,3,2,2,2,2,2,3
"65","2017/04/05 01:05",2,1,2,-3,1,4,4,1,2,2,3,3,2,5,3,2,2,-3
"66","2017/04/05 01:06",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2
"67","2017/04/05 01:07",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2
"68","2017/04/05 01:08",3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"69","2017/04/05 01:09",3,1,-3,-3,1,1,2,2,2,-3,-3,-3,4,1,2,1,1,-3
"70","2017/04/05 01:10",2,2,2,2,2,2,2,2,3,3,3,3,2,1,2,1,2,2
"71","2017/04/05 01:11",3,2,2,2,2,2,2,2,6,3,5,3,2,2,4,1,3,2
"72","2017/04/05 01:12",4,2,2,9,3,8,2,4,3,2,3,-3,4,2,3,2,4,4
"73","2017/04/05 01:13",3,3,3,3,2,3,4,2,5,2,2,4,2,2,3,2,3,3
"74","2017/04/05 01:14",3,3,4,2,2,3,2,2,4,2,3,2,2,2,2,3,2,3
"75","2017/04/05 01:15",3,2,4,4,4,4,3,3,3,2,3,8,3,2,2,2,2,2
"76","2017/04/05 01:16",3,2,2,2,2,4,2,2,3,3,3,4,3,2,2,3,2,2
"77","2017/04/05 01:17",4,2,2,6,6,3,3,3,3,3,4,6,4,3,2,2,3,3
"78","2017/04/05 01:18",4,2,2,4,7,5,2,2,4,4,4,4,3,3,6,3,2,3
"79","2017/04/05 01:19",5,3,6,3,6,4,2,2,4,3,6,2,6,4,5,4,4,3
"80","2017/04/05 01:20",7,4,4,3,2,4,4,3,4,3,4,4,4,6,2,4,3,4
